variableMetadata	accession	description	uniprot_id
E9Q414_Apolipoprotein B-100	sp|E9Q414|APOB_MOUSE	Apolipoprotein B-100  OS=Mus musculus (Mouse) GN=Apob PE=1 SV=1	E9Q414
P13020_Gelsolin	sp|P13020|GELS_MOUSE	Gelsolin  OS=Mus musculus (Mouse) GN=Gsn PE=1 SV=3	P13020
Q99LY9_NADH dehydrogenase [ubiq.	sp|Q99LY9|NDUS5_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5  OS=Mus musculus (Mouse) GN=Ndufs5 PE=1 SV=3	Q99LY9
Q9QZX7_Serine racemase	sp|Q9QZX7|SRR_MOUSE	Serine racemase  OS=Mus musculus (Mouse) GN=Srr PE=1 SV=1	Q9QZX7
Q91YN5_UDP-N-acetylhexosamine p.	sp|Q91YN5|UAP1_MOUSE	UDP-N-acetylhexosamine pyrophosphorylase  OS=Mus musculus (Mouse) GN=Uap1 PE=1 SV=1	Q91YN5
B2RXS4_Plexin-B2	sp|B2RXS4|PLXB2_MOUSE	Plexin-B2  OS=Mus musculus (Mouse) GN=Plxnb2 PE=1 SV=1	B2RXS4
Q9D5V5_Cullin-5	sp|Q9D5V5|CUL5_MOUSE	Cullin-5  OS=Mus musculus (Mouse) GN=Cul5 PE=1 SV=3	Q9D5V5
P28651_Carbonic anhydrase-relat.	sp|P28651|CAH8_MOUSE	Carbonic anhydrase-related protein  OS=Mus musculus (Mouse) GN=Ca8 PE=1 SV=5	P28651
Q9DAW9_Calponin-3	sp|Q9DAW9|CNN3_MOUSE	Calponin-3  OS=Mus musculus (Mouse) GN=Cnn3 PE=1 SV=1	Q9DAW9
Q9D7J4_Cytochrome c oxidase ass.	sp|Q9D7J4|COX20_MOUSE	Cytochrome c oxidase assembly protein COX20, mitochondrial  OS=Mus musculus (Mouse) GN=Cox20 PE=1 SV=1	Q9D7J4
Q6GQS1_Calcium-binding mitochon.	sp|Q6GQS1|SCMC3_MOUSE	Calcium-binding mitochondrial carrier protein SCaMC-3  OS=Mus musculus (Mouse) GN=Slc25a23 PE=1 SV=1	Q6GQS1
Q8BGJ9_Splicing factor U2AF 26 .	sp|Q8BGJ9|U2AF4_MOUSE	Splicing factor U2AF 26 kDa subunit  OS=Mus musculus (Mouse) GN=U2af1l4 PE=1 SV=1	Q8BGJ9
Q3U0B3_Dehydrogenase/reductase .	sp|Q3U0B3|DHR11_MOUSE	Dehydrogenase/reductase SDR family member 11  OS=Mus musculus (Mouse) GN=Dhrs11 PE=1 SV=1	Q3U0B3
Q6ZWV7_60S ribosomal protein L35	sp|Q6ZWV7|RL35_MOUSE	60S ribosomal protein L35  OS=Mus musculus (Mouse) GN=Rpl35 PE=1 SV=1	Q6ZWV7
P03987_Ig gamma-3 chain C region	sp|P03987|IGHG3_MOUSE	Ig gamma-3 chain C region  OS=Mus musculus (Mouse) PE=1 SV=2	P03987
Q60634_Flotillin-2	sp|Q60634|FLOT2_MOUSE	Flotillin-2  OS=Mus musculus (Mouse) GN=Flot2 PE=1 SV=2	Q60634
Q7TSH2_Phosphorylase b kinase r.	sp|Q7TSH2|KPBB_MOUSE	Phosphorylase b kinase regulatory subunit beta  OS=Mus musculus (Mouse) GN=Phkb PE=1 SV=1	Q7TSH2
Q9CYS6_Uncharacterized protein .	sp|Q9CYS6|CB072_MOUSE	Uncharacterized protein C2orf72 homolog  OS=Mus musculus (Mouse) PE=1 SV=2	Q9CYS6
P56959_RNA-binding protein FUS	sp|P56959|FUS_MOUSE	RNA-binding protein FUS  OS=Mus musculus (Mouse) GN=Fus PE=1 SV=1	P56959
P03899_NADH-ubiquinone oxidored.	sp|P03899|NU3M_MOUSE	NADH-ubiquinone oxidoreductase chain 3  OS=Mus musculus (Mouse) GN=Mtnd3 PE=1 SV=3	P03899
Q9DBD0_Inhibitor of carbonic an.	sp|Q9DBD0|ICA_MOUSE	Inhibitor of carbonic anhydrase  OS=Mus musculus (Mouse) GN=Ica PE=1 SV=1	Q9DBD0
O35683_NADH dehydrogenase [ubiq.	sp|O35683|NDUA1_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1  OS=Mus musculus (Mouse) GN=Ndufa1 PE=1 SV=1	O35683
Q505D7_Optic atrophy 3 protein .	sp|Q505D7|OPA3_MOUSE	Optic atrophy 3 protein homolog  OS=Mus musculus (Mouse) GN=Opa3 PE=1 SV=1	Q505D7
Q8BWM0_Prostaglandin E synthase.	sp|Q8BWM0|PGES2_MOUSE	Prostaglandin E synthase 2  OS=Mus musculus (Mouse) GN=Ptges2 PE=1 SV=3	Q8BWM0
Q91VU6_DDB1- and CUL4-associate.	sp|Q91VU6|DCA11_MOUSE	DDB1- and CUL4-associated factor 11  OS=Mus musculus (Mouse) GN=Dcaf11 PE=1 SV=1	Q91VU6
Q91XD6_Vacuolar protein-sorting.	sp|Q91XD6|VPS36_MOUSE	Vacuolar protein-sorting-associated protein 36  OS=Mus musculus (Mouse) GN=Vps36 PE=1 SV=1	Q91XD6
Q9D8Y1_Transmembrane protein 12.	sp|Q9D8Y1|T126A_MOUSE	Transmembrane protein 126A  OS=Mus musculus (Mouse) GN=Tmem126a PE=1 SV=1	Q9D8Y1
Q9EPQ7_StAR-related lipid trans.	sp|Q9EPQ7|STAR5_MOUSE	StAR-related lipid transfer protein 5  OS=Mus musculus (Mouse) GN=Stard5 PE=1 SV=2	Q9EPQ7
Q99KG5_Lipolysis-stimulated lip.	sp|Q99KG5|LSR_MOUSE	Lipolysis-stimulated lipoprotein receptor  OS=Mus musculus (Mouse) GN=Lsr PE=1 SV=1	Q99KG5
Q76LS9_Ubiquitin carboxyl-termi.	sp|Q76LS9|MINY1_MOUSE	Ubiquitin carboxyl-terminal hydrolase MINDY-1  OS=Mus musculus (Mouse) GN=Mindy1 PE=1 SV=1	Q76LS9
P61290_Proteasome activator com.	sp|P61290|PSME3_MOUSE	Proteasome activator complex subunit 3  OS=Mus musculus (Mouse) GN=Psme3 PE=1 SV=1	P61290
O08663_Methionine aminopeptidas.	sp|O08663|MAP2_MOUSE	Methionine aminopeptidase 2  OS=Mus musculus (Mouse) GN=Metap2 PE=1 SV=1	O08663
Q03963_Interferon-induced, doub.	sp|Q03963|E2AK2_MOUSE	Interferon-induced, double-stranded RNA-activated protein kinase  OS=Mus musculus (Mouse) GN=Eif2ak2 PE=1 SV=2	Q03963
P39447_Tight junction protein Z.	sp|P39447|ZO1_MOUSE	Tight junction protein ZO-1  OS=Mus musculus (Mouse) GN=Tjp1 PE=1 SV=2	P39447
P60670_Nuclear protein localiza.	sp|P60670|NPL4_MOUSE	Nuclear protein localization protein 4 homolog  OS=Mus musculus (Mouse) GN=Nploc4 PE=1 SV=3	P60670
Q61206_Platelet-activating fact.	sp|Q61206|PA1B2_MOUSE	Platelet-activating factor acetylhydrolase IB subunit beta  OS=Mus musculus (Mouse) GN=Pafah1b2 PE=1 SV=2	Q61206
Q9D338_39S ribosomal protein L1.	sp|Q9D338|RM19_MOUSE	39S ribosomal protein L19, mitochondrial  OS=Mus musculus (Mouse) GN=Mrpl19 PE=1 SV=1	Q9D338
Q8BHE8_m-AAA protease-interacti.	sp|Q8BHE8|MAIP1_MOUSE	m-AAA protease-interacting protein 1, mitochondrial  OS=Mus musculus (Mouse) GN=Maip1 PE=1 SV=1	Q8BHE8
Q9CYR0_Single-stranded DNA-bind.	sp|Q9CYR0|SSBP_MOUSE	Single-stranded DNA-binding protein, mitochondrial  OS=Mus musculus (Mouse) GN=Ssbp1 PE=1 SV=1	Q9CYR0
P14246_Solute carrier family 2,.	sp|P14246|GTR2_MOUSE	Solute carrier family 2, facilitated glucose transporter member 2  OS=Mus musculus (Mouse) GN=Slc2a2 PE=1 SV=3	P14246
Q8R1Q9_Ribokinase	sp|Q8R1Q9|RBSK_MOUSE	Ribokinase  OS=Mus musculus (Mouse) GN=Rbks PE=1 SV=1	Q8R1Q9
Q9Z172_Small ubiquitin-related .	sp|Q9Z172|SUMO3_MOUSE	Small ubiquitin-related modifier 3  OS=Mus musculus (Mouse) GN=Sumo3 PE=1 SV=1	Q9Z172
Q8BU33_Acetolactate synthase-li.	sp|Q8BU33|ILVBL_MOUSE	Acetolactate synthase-like protein  OS=Mus musculus (Mouse) GN=Ilvbl PE=1 SV=1	Q8BU33
Q8R311_Endoplasmic reticulum ex.	sp|Q8R311|CTGE5_MOUSE	Endoplasmic reticulum export factor CTAGE5  OS=Mus musculus (Mouse) GN=Ctage5 PE=2 SV=1	Q8R311
P49442_Inositol polyphosphate 1.	sp|P49442|INPP_MOUSE	Inositol polyphosphate 1-phosphatase  OS=Mus musculus (Mouse) GN=Inpp1 PE=1 SV=2	P49442
P60334_Cysteine dioxygenase typ.	sp|P60334|CDO1_MOUSE	Cysteine dioxygenase type 1  OS=Mus musculus (Mouse) GN=Cdo1 PE=1 SV=1	P60334
Q8VBW6_NEDD8-activating enzyme .	sp|Q8VBW6|ULA1_MOUSE	NEDD8-activating enzyme E1 regulatory subunit  OS=Mus musculus (Mouse) GN=Nae1 PE=1 SV=1	Q8VBW6
Q9WTX6_Cullin-1	sp|Q9WTX6|CUL1_MOUSE	Cullin-1  OS=Mus musculus (Mouse) GN=Cul1 PE=1 SV=1	Q9WTX6
Q6TEK5_Vitamin K epoxide reduct.	sp|Q6TEK5|VKORL_MOUSE	Vitamin K epoxide reductase complex subunit 1-like protein 1  OS=Mus musculus (Mouse) GN=Vkorc1l1 PE=1 SV=1	Q6TEK5
Q9CRB8_Mitochondrial fission pr.	sp|Q9CRB8|MTFP1_MOUSE	Mitochondrial fission process protein 1  OS=Mus musculus (Mouse) GN=Mtfp1 PE=1 SV=1	Q9CRB8
Q78KK3_Solute carrier family 22.	sp|Q78KK3|S22AI_MOUSE	Solute carrier family 22 member 18  OS=Mus musculus (Mouse) GN=Slc22a18 PE=1 SV=2	Q78KK3
Q9QZB7_Actin-related protein 10	sp|Q9QZB7|ARP10_MOUSE	Actin-related protein 10  OS=Mus musculus (Mouse) GN=Actr10 PE=1 SV=2	Q9QZB7
O35166_Golgi SNAP receptor comp.	sp|O35166|GOSR2_MOUSE	Golgi SNAP receptor complex member 2  OS=Mus musculus (Mouse) GN=Gosr2 PE=1 SV=2	O35166
O70303_Cell death activator CID.	sp|O70303|CIDEB_MOUSE	Cell death activator CIDE-B  OS=Mus musculus (Mouse) GN=Cideb PE=1 SV=2	O70303
Q8BL97_Serine/arginine-rich spl.	sp|Q8BL97|SRSF7_MOUSE	Serine/arginine-rich splicing factor 7  OS=Mus musculus (Mouse) GN=Srsf7 PE=1 SV=1	Q8BL97
Q8K2V1_Serine/threonine-protein.	sp|Q8K2V1|PP4R1_MOUSE	Serine/threonine-protein phosphatase 4 regulatory subunit 1  OS=Mus musculus (Mouse) GN=Ppp4r1 PE=1 SV=2	Q8K2V1
Q9WV85_Nucleoside diphosphate k.	sp|Q9WV85|NDK3_MOUSE	Nucleoside diphosphate kinase 3  OS=Mus musculus (Mouse) GN=Nme3 PE=1 SV=3	Q9WV85
Q05915_GTP cyclohydrolase 1	sp|Q05915|GCH1_MOUSE	GTP cyclohydrolase 1  OS=Mus musculus (Mouse) GN=Gch1 PE=1 SV=1	Q05915
O70570_Polymeric immunoglobulin.	sp|O70570|PIGR_MOUSE	Polymeric immunoglobulin receptor  OS=Mus musculus (Mouse) GN=Pigr PE=1 SV=1	O70570
P61327_Protein mago nashi homol.	sp|P61327|MGN_MOUSE	Protein mago nashi homolog  OS=Mus musculus (Mouse) GN=Magoh PE=2 SV=1	P61327
P40237_CD82 antigen	sp|P40237|CD82_MOUSE	CD82 antigen  OS=Mus musculus (Mouse) GN=Cd82 PE=1 SV=1	P40237
P53798_Squalene synthase	sp|P53798|FDFT_MOUSE	Squalene synthase  OS=Mus musculus (Mouse) GN=Fdft1 PE=1 SV=2	P53798
Q9D0Q7_39S ribosomal protein L4.	sp|Q9D0Q7|RM45_MOUSE	39S ribosomal protein L45, mitochondrial  OS=Mus musculus (Mouse) GN=Mrpl45 PE=1 SV=1	Q9D0Q7
Q8BVG4_Dipeptidyl peptidase 9	sp|Q8BVG4|DPP9_MOUSE	Dipeptidyl peptidase 9  OS=Mus musculus (Mouse) GN=Dpp9 PE=1 SV=2	Q8BVG4
Q9CRB2_H/ACA ribonucleoprotein .	sp|Q9CRB2|NHP2_MOUSE	H/ACA ribonucleoprotein complex subunit 2  OS=Mus musculus (Mouse) GN=Nhp2 PE=1 SV=1	Q9CRB2
P49312_Heterogeneous nuclear ri.	sp|P49312|ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1  OS=Mus musculus (Mouse) GN=Hnrnpa1 PE=1 SV=2	P49312
P62257_Ubiquitin-conjugating en.	sp|P62257|UBE2H_MOUSE	Ubiquitin-conjugating enzyme E2 H  OS=Mus musculus (Mouse) GN=Ube2h PE=1 SV=1	P62257
Q8C1B7_Septin-11	sp|Q8C1B7|SEP11_MOUSE	Septin-11  OS=Mus musculus (Mouse) GN=Sept11 PE=1 SV=4	Q8C1B7
Q62048_Astrocytic phosphoprotei.	sp|Q62048|PEA15_MOUSE	Astrocytic phosphoprotein PEA-15  OS=Mus musculus (Mouse) GN=Pea15 PE=1 SV=1	Q62048
Q9WVQ5_Methylthioribulose-1-pho.	sp|Q9WVQ5|MTNB_MOUSE	Methylthioribulose-1-phosphate dehydratase  OS=Mus musculus (Mouse) GN=Apip PE=1 SV=1	Q9WVQ5
Q8C166_Copine-1	sp|Q8C166|CPNE1_MOUSE	Copine-1  OS=Mus musculus (Mouse) GN=Cpne1 PE=1 SV=1	Q8C166
Q62318_Transcription intermedia.	sp|Q62318|TIF1B_MOUSE	Transcription intermediary factor 1-beta  OS=Mus musculus (Mouse) GN=Trim28 PE=1 SV=3	Q62318
Q9JKC8_AP-3 complex subunit mu-1	sp|Q9JKC8|AP3M1_MOUSE	AP-3 complex subunit mu-1  OS=Mus musculus (Mouse) GN=Ap3m1 PE=1 SV=1	Q9JKC8
Q99JX7_Nuclear RNA export facto.	sp|Q99JX7|NXF1_MOUSE	Nuclear RNA export factor 1  OS=Mus musculus (Mouse) GN=Nxf1 PE=1 SV=3	Q99JX7
Q80VP1_Epsin-1	sp|Q80VP1|EPN1_MOUSE	Epsin-1  OS=Mus musculus (Mouse) GN=Epn1 PE=1 SV=3	Q80VP1
Q76M72_Solute carrier family 22.	sp|Q76M72|S22AR_MOUSE	Solute carrier family 22 member 27  OS=Mus musculus (Mouse) GN=Slc22a27 PE=1 SV=1	Q76M72
Q3UMF0_Cordon-bleu protein-like.	sp|Q3UMF0|COBL1_MOUSE	Cordon-bleu protein-like 1  OS=Mus musculus (Mouse) GN=Cobll1 PE=1 SV=2	Q3UMF0
O55142_60S ribosomal protein L3.	sp|O55142|RL35A_MOUSE	60S ribosomal protein L35a  OS=Mus musculus (Mouse) GN=Rpl35a PE=1 SV=2	O55142
Q99K01_Pyridoxal-dependent deca.	sp|Q99K01|PDXD1_MOUSE	Pyridoxal-dependent decarboxylase domain-containing protein 1  OS=Mus musculus (Mouse) GN=Pdxdc1 PE=1 SV=2	Q99K01
Q8BMJ3_Eukaryotic translation i.	sp|Q8BMJ3|IF1AX_MOUSE	Eukaryotic translation initiation factor 1A, X-chromosomal  OS=Mus musculus (Mouse) GN=Eif1ax PE=2 SV=3	Q8BMJ3
Q8VE88_Protein FAM114A2	sp|Q8VE88|F1142_MOUSE	Protein FAM114A2  OS=Mus musculus (Mouse) GN=Fam114a2 PE=1 SV=2	Q8VE88
P49615_Cyclin-dependent-like ki.	sp|P49615|CDK5_MOUSE	Cyclin-dependent-like kinase 5  OS=Mus musculus (Mouse) GN=Cdk5 PE=1 SV=1	P49615
Q9CZL5_Pterin-4-alpha-carbinola.	sp|Q9CZL5|PHS2_MOUSE	Pterin-4-alpha-carbinolamine dehydratase 2  OS=Mus musculus (Mouse) GN=Pcbd2 PE=1 SV=2	Q9CZL5
Q99LC8_Translation initiation f.	sp|Q99LC8|EI2BA_MOUSE	Translation initiation factor eIF-2B subunit alpha  OS=Mus musculus (Mouse) GN=Eif2b1 PE=1 SV=1	Q99LC8
O35943_Frataxin, mitochondrial	sp|O35943|FRDA_MOUSE	Frataxin, mitochondrial  OS=Mus musculus (Mouse) GN=Fxn PE=1 SV=1	O35943
Q8CFV9_Riboflavin kinase	sp|Q8CFV9|RIFK_MOUSE	Riboflavin kinase  OS=Mus musculus (Mouse) GN=Rfk PE=1 SV=2	Q8CFV9
Q9D517_1-acyl-sn-glycerol-3-pho.	sp|Q9D517|PLCC_MOUSE	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma  OS=Mus musculus (Mouse) GN=Agpat3 PE=1 SV=2	Q9D517
Q9DBA6_Peroxisomal leader pepti.	sp|Q9DBA6|TYSD1_MOUSE	Peroxisomal leader peptide-processing protease  OS=Mus musculus (Mouse) GN=Tysnd1 PE=1 SV=1	Q9DBA6
B1AR13_CDGSH iron-sulfur domain.	sp|B1AR13|CISD3_MOUSE	CDGSH iron-sulfur domain-containing protein 3, mitochondrial  OS=Mus musculus (Mouse) GN=Cisd3 PE=1 SV=1	B1AR13
Q99N87_28S ribosomal protein S5.	sp|Q99N87|RT05_MOUSE	28S ribosomal protein S5, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps5 PE=1 SV=1	Q99N87
Q9JLB0_MAGUK p55 subfamily memb.	sp|Q9JLB0|MPP6_MOUSE	MAGUK p55 subfamily member 6  OS=Mus musculus (Mouse) GN=Mpp6 PE=1 SV=1	Q9JLB0
Q91W52_Transmembrane protein 19	sp|Q91W52|TMM19_MOUSE	Transmembrane protein 19  OS=Mus musculus (Mouse) GN=Tmem19 PE=1 SV=1	Q91W52
Q91V01_Lysophospholipid acyltra.	sp|Q91V01|MBOA5_MOUSE	Lysophospholipid acyltransferase 5  OS=Mus musculus (Mouse) GN=Lpcat3 PE=1 SV=1	Q91V01
Q9QYC0_Alpha-adducin	sp|Q9QYC0|ADDA_MOUSE	Alpha-adducin  OS=Mus musculus (Mouse) GN=Add1 PE=1 SV=2	Q9QYC0
Q8BJU0_Small glutamine-rich tet.	sp|Q8BJU0|SGTA_MOUSE	Small glutamine-rich tetratricopeptide repeat-containing protein alpha  OS=Mus musculus (Mouse) GN=Sgta PE=1 SV=2	Q8BJU0
Q80VD1_Protein FAM98B	sp|Q80VD1|FA98B_MOUSE	Protein FAM98B  OS=Mus musculus (Mouse) GN=Fam98b PE=1 SV=1	Q80VD1
Q5XKN4_Protein jagunal homolog 1	sp|Q5XKN4|JAGN1_MOUSE	Protein jagunal homolog 1  OS=Mus musculus (Mouse) GN=Jagn1 PE=1 SV=2	Q5XKN4
Q7TSV4_Phosphoglucomutase-2	sp|Q7TSV4|PGM2_MOUSE	Phosphoglucomutase-2  OS=Mus musculus (Mouse) GN=Pgm2 PE=1 SV=1	Q7TSV4
Q8K0G8_Epithelial splicing regu.	sp|Q8K0G8|ESRP2_MOUSE	Epithelial splicing regulatory protein 2  OS=Mus musculus (Mouse) GN=Esrp2 PE=1 SV=1	Q8K0G8
Q62261_Spectrin beta chain, non.	sp|Q62261|SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1  OS=Mus musculus (Mouse) GN=Sptbn1 PE=1 SV=2	Q62261
Q3UTJ2_Sorbin and SH3 domain-co.	sp|Q3UTJ2|SRBS2_MOUSE	Sorbin and SH3 domain-containing protein 2  OS=Mus musculus (Mouse) GN=Sorbs2 PE=1 SV=2	Q3UTJ2
P11438_Lysosome-associated memb.	sp|P11438|LAMP1_MOUSE	Lysosome-associated membrane glycoprotein 1  OS=Mus musculus (Mouse) GN=Lamp1 PE=1 SV=2	P11438
Q8C650_Septin-10	sp|Q8C650|SEP10_MOUSE	Septin-10  OS=Mus musculus (Mouse) GN=Sept10 PE=1 SV=1	Q8C650
P36916_Guanine nucleotide-bindi.	sp|P36916|GNL1_MOUSE	Guanine nucleotide-binding protein-like 1  OS=Mus musculus (Mouse) GN=Gnl1 PE=1 SV=4	P36916
Q8VCG4_Complement component C8 .	sp|Q8VCG4|CO8G_MOUSE	Complement component C8 gamma chain  OS=Mus musculus (Mouse) GN=C8g PE=1 SV=1	Q8VCG4
Q9CYV5_Transmembrane protein 135	sp|Q9CYV5|TM135_MOUSE	Transmembrane protein 135  OS=Mus musculus (Mouse) GN=Tmem135 PE=2 SV=1	Q9CYV5
Q78JE5_F-box only protein 22	sp|Q78JE5|FBX22_MOUSE	F-box only protein 22  OS=Mus musculus (Mouse) GN=Fbxo22 PE=1 SV=2	Q78JE5
Q8BIG7_Catechol O-methyltransfe.	sp|Q8BIG7|CMTD1_MOUSE	Catechol O-methyltransferase domain-containing protein 1  OS=Mus musculus (Mouse) GN=Comtd1 PE=1 SV=1	Q8BIG7
Q9JHK4_Geranylgeranyl transfera.	sp|Q9JHK4|PGTA_MOUSE	Geranylgeranyl transferase type-2 subunit alpha  OS=Mus musculus (Mouse) GN=Rabggta PE=1 SV=1	Q9JHK4
P00416_Cytochrome c oxidase sub.	sp|P00416|COX3_MOUSE	Cytochrome c oxidase subunit 3  OS=Mus musculus (Mouse) GN=mt-Co3 PE=1 SV=2	P00416
Q99JH8_ER lumen protein-retaini.	sp|Q99JH8|ERD21_MOUSE	ER lumen protein-retaining receptor 1  OS=Mus musculus (Mouse) GN=Kdelr1 PE=1 SV=1	Q99JH8
Q9ET30_Transmembrane 9 superfam.	sp|Q9ET30|TM9S3_MOUSE	Transmembrane 9 superfamily member 3  OS=Mus musculus (Mouse) GN=Tm9sf3 PE=1 SV=1	Q9ET30
Q8VDM6_Heterogeneous nuclear ri.	sp|Q8VDM6|HNRL1_MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 1  OS=Mus musculus (Mouse) GN=Hnrnpul1 PE=1 SV=1	Q8VDM6
Q9CQU3_Protein RER1	sp|Q9CQU3|RER1_MOUSE	Protein RER1  OS=Mus musculus (Mouse) GN=Rer1 PE=1 SV=1	Q9CQU3
P51885_Lumican	sp|P51885|LUM_MOUSE	Lumican  OS=Mus musculus (Mouse) GN=Lum PE=1 SV=2	P51885
P56379_6.8 kDa mitochondrial pr.	sp|P56379|68MP_MOUSE	6.8 kDa mitochondrial proteolipid  OS=Mus musculus (Mouse) GN=Mp68 PE=1 SV=1	P56379
Q99KN9_Clathrin interactor 1	sp|Q99KN9|EPN4_MOUSE	Clathrin interactor 1  OS=Mus musculus (Mouse) GN=Clint1 PE=1 SV=2	Q99KN9
Q9D892_Inosine triphosphate pyr.	sp|Q9D892|ITPA_MOUSE	Inosine triphosphate pyrophosphatase  OS=Mus musculus (Mouse) GN=Itpa PE=1 SV=2	Q9D892
Q9Z1G3_V-type proton ATPase sub.	sp|Q9Z1G3|VATC1_MOUSE	V-type proton ATPase subunit C 1  OS=Mus musculus (Mouse) GN=Atp6v1c1 PE=1 SV=4	Q9Z1G3
Q3UUI3_Acyl-coenzyme A thioeste.	sp|Q3UUI3|THEM4_MOUSE	Acyl-coenzyme A thioesterase THEM4  OS=Mus musculus (Mouse) GN=Them4 PE=1 SV=1	Q3UUI3
Q7TT50_Serine/threonine-protein.	sp|Q7TT50|MRCKB_MOUSE	Serine/threonine-protein kinase MRCK beta  OS=Mus musculus (Mouse) GN=Cdc42bpb PE=1 SV=2	Q7TT50
O35343_Importin subunit alpha-3	sp|O35343|IMA3_MOUSE	Importin subunit alpha-3  OS=Mus musculus (Mouse) GN=Kpna4 PE=1 SV=1	O35343
Q8K4Q0_Regulatory-associated pr.	sp|Q8K4Q0|RPTOR_MOUSE	Regulatory-associated protein of mTOR  OS=Mus musculus (Mouse) GN=Rptor PE=1 SV=1	Q8K4Q0
Q8VCI5_Peroxisomal biogenesis f.	sp|Q8VCI5|PEX19_MOUSE	Peroxisomal biogenesis factor 19  OS=Mus musculus (Mouse) GN=Pex19 PE=1 SV=1	Q8VCI5
Q9WVT6_Carbonic anhydrase 14	sp|Q9WVT6|CAH14_MOUSE	Carbonic anhydrase 14  OS=Mus musculus (Mouse) GN=Ca14 PE=1 SV=1	Q9WVT6
Q8BI08_Protein MAL2	sp|Q8BI08|MAL2_MOUSE	Protein MAL2  OS=Mus musculus (Mouse) GN=Mal2 PE=1 SV=1	Q8BI08
Q3UUQ7_GPI inositol-deacylase	sp|Q3UUQ7|PGAP1_MOUSE	GPI inositol-deacylase  OS=Mus musculus (Mouse) GN=Pgap1 PE=1 SV=3	Q3UUQ7
Q9WTM5_RuvB-like 2	sp|Q9WTM5|RUVB2_MOUSE	RuvB-like 2  OS=Mus musculus (Mouse) GN=Ruvbl2 PE=1 SV=3	Q9WTM5
P84089_Enhancer of rudimentary .	sp|P84089|ERH_MOUSE	Enhancer of rudimentary homolog  OS=Mus musculus (Mouse) GN=Erh PE=1 SV=1	P84089
Q91ZH7_Phospholipase ABHD3	sp|Q91ZH7|ABHD3_MOUSE	Phospholipase ABHD3  OS=Mus musculus (Mouse) GN=Abhd3 PE=1 SV=1	Q91ZH7
P50427_Steryl-sulfatase	sp|P50427|STS_MOUSE	Steryl-sulfatase  OS=Mus musculus (Mouse) GN=Sts PE=1 SV=1	P50427
P28660_Nck-associated protein 1	sp|P28660|NCKP1_MOUSE	Nck-associated protein 1  OS=Mus musculus (Mouse) GN=Nckap1 PE=1 SV=2	P28660
Q9D554_Splicing factor 3A subun.	sp|Q9D554|SF3A3_MOUSE	Splicing factor 3A subunit 3  OS=Mus musculus (Mouse) GN=Sf3a3 PE=1 SV=2	Q9D554
Q9EQ32_Phosphoinositide 3-kinas.	sp|Q9EQ32|BCAP_MOUSE	Phosphoinositide 3-kinase adapter protein 1  OS=Mus musculus (Mouse) GN=Pik3ap1 PE=1 SV=1	Q9EQ32
P53996_Cellular nucleic acid-bi.	sp|P53996|CNBP_MOUSE	Cellular nucleic acid-binding protein  OS=Mus musculus (Mouse) GN=Cnbp PE=1 SV=2	P53996
Q9CPQ3_Mitochondrial import rec.	sp|Q9CPQ3|TOM22_MOUSE	Mitochondrial import receptor subunit TOM22 homolog  OS=Mus musculus (Mouse) GN=Tomm22 PE=1 SV=3	Q9CPQ3
Q80WJ7_Protein LYRIC	sp|Q80WJ7|LYRIC_MOUSE	Protein LYRIC  OS=Mus musculus (Mouse) GN=Mtdh PE=1 SV=1	Q80WJ7
Q9CY16_28S ribosomal protein S2.	sp|Q9CY16|RT28_MOUSE	28S ribosomal protein S28, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps28 PE=1 SV=1	Q9CY16
Q8BHA3_D-aminoacyl-tRNA deacyla.	sp|Q8BHA3|DTD2_MOUSE	D-aminoacyl-tRNA deacylase 2  OS=Mus musculus (Mouse) GN=Dtd2 PE=1 SV=1	Q8BHA3
Q3UHQ6_Protein dopey-2	sp|Q3UHQ6|DOP2_MOUSE	Protein dopey-2  OS=Mus musculus (Mouse) GN=Dopey2 PE=1 SV=3	Q3UHQ6
P14602_Heat shock protein beta-1	sp|P14602|HSPB1_MOUSE	Heat shock protein beta-1  OS=Mus musculus (Mouse) GN=Hspb1 PE=1 SV=3	P14602
Q99N93_39S ribosomal protein L1.	sp|Q99N93|RM16_MOUSE	39S ribosomal protein L16, mitochondrial  OS=Mus musculus (Mouse) GN=Mrpl16 PE=1 SV=1	Q99N93
P19324_Serpin H1	sp|P19324|SERPH_MOUSE	Serpin H1  OS=Mus musculus (Mouse) GN=Serpinh1 PE=1 SV=3	P19324
P62862_40S ribosomal protein S30	sp|P62862|RS30_MOUSE	40S ribosomal protein S30  OS=Mus musculus (Mouse) GN=Fau PE=1 SV=1	P62862
Q8K411_Presequence protease, mi.	sp|Q8K411|PREP_MOUSE	Presequence protease, mitochondrial  OS=Mus musculus (Mouse) GN=Pitrm1 PE=1 SV=1	Q8K411
